"Accession" "TF" "Tissue" "Cell" "IMPACT" "File" "CellDeriv"
"GSM738822" "GABPA" "PROSTATE" "RWPE-1" "56" "PRJNA140921_GSM738822_GABPA_peaks.narrowPeak" "Prostate"
"GSM738823" "ERG" "PROSTATE" "RWPE-1" "57" "PRJNA140921_GSM738823_ERG_peaks.narrowPeak" "Prostate"
"GSM738824" "ETV1" "PROSTATE" "RWPE-1" "58" "PRJNA140921_GSM738824_ETV1_peaks.narrowPeak" "Prostate"
"GSM727559" "SMAD3" "STEMCELL" "hESC H9" "59" "PRJNA141533_GSM727559_SMAD3_peaks.narrowPeak" "Stem cell"
"GSM727561" "SMAD4" "STEMCELL" "hESC H9" "60" "PRJNA141533_GSM727561_SMAD4_peaks.narrowPeak" "Stem cell"
"GSM727564" "FOXH1" "STEMCELL" "hESC H9" "61" "PRJNA141533_GSM727564_FOXH1_peaks.narrowPeak" "Stem cell"
"GSM727585" "SMAD3" "STEMCELL" "hESC derived mesendodermal cells" "62" "PRJNA141533_GSM727585_SMAD3_peaks.narrowPeak" "Mesendoderm"
"GSM727586" "SMAD4" "STEMCELL" "hESC derived mesendodermal cells" "63" "PRJNA141533_GSM727586_SMAD4_peaks.narrowPeak" "Mesendoderm"
"GSM727589" "FOXH1" "STEMCELL" "hESC derived mesendodermal cells" "64" "PRJNA141533_GSM727589_FOXH1_peaks.narrowPeak" "Mesendoderm"
"GSM678268" "VDR" "BLOOD" "THP-1" "65" "PRJNA141853_GSM678268_VDR_peaks.narrowPeak" "Monocyte"
"GSM678269" "VDR" "BLOOD" "THP-1" "65" "PRJNA141853_GSM678269_VDR_peaks.narrowPeak" "Monocyte"
"GSM624141" "PPARG" "BLOOD" "THP-1" "66" "PRJNA142611_GSM624141_PPARG_peaks.narrowPeak" "Monocyte"
"GSM624143" "SPI1" "BLOOD" "THP-1" "67" "PRJNA142611_GSM624143_SPI1_peaks.narrowPeak" "Monocyte"
"GSM717395" "ERG" "PROSTATE" "VCaP" "68" "PRJNA142869_GSM717395_ERG_peaks.narrowPeak" "Prostate"
"GSM717396" "ERG" "PROSTATE" "VCaP" "68" "PRJNA142869_GSM717396_ERG_peaks.narrowPeak" "Prostate"
"GSM717397" "ERG" "PROSTATE" "VCaP" "68" "PRJNA142869_GSM717397_ERG_peaks.narrowPeak" "Prostate"
"GSM722392" "GATA1" "BLOOD" "CD34+" "24" "PRJNA142953_GSM722392_GATA1_peaks.narrowPeak" "Hematopoietic progenitors "
